Lat,Lon,Times_exceeded
52.234,21.06,3.0
52.286,20.991,3.0
52.326,21.028,3.0
52.203,20.894,3.0
52.161,21.103,3.0
52.348,21.126,3.0
52.217,21.096,3.0
52.281,21.01,3.0
52.22,21.136,3.0
52.181,20.989,3.0
52.19,20.92,3.0
52.224,21.213,3.0
52.176,21.021,3.0
52.302,21.011,3.0
52.259,20.951,3.0
52.162,21.017,3.0
52.217,21.226,3.0
52.1,21.115,3.0
52.261,21.009,3.0
52.307,21.068,3.0
52.262,20.993,3.0
52.183,20.982,3.0
52.324,21.027,3.0
52.264,20.922,3.0
52.149,20.914,3.0
52.176,21.196,3.0
52.181,21.074,3.0
52.25,20.911,3.0
52.299,21.013,3.0
52.196,20.907,3.0
52.246,21.048,3.0
52.219,21.093,3.0
52.171,21.019,3.0
52.183,21.058,3.0
52.225,21.198,3.0
52.214,20.979,3.0
52.213,20.914,3.0
52.292,21.001,3.0
52.219,20.896,3.0
52.307,21.063,3.0
52.178,20.872,3.0
52.26,20.918,3.0
52.204,21.114,3.0
52.214,20.988,3.0
52.275,20.964,3.0
52.225,21.183,3.0
52.219,20.969,3.0
52.157,21.018,3.0
52.251,21.139,3.0
52.218,20.907,3.0
52.225,21.201,3.0
52.26,20.994,3.0
52.303,21.045,3.0
52.164,21.112,3.0
52.242,21.104,3.0
52.302,21.042,3.0
52.145,21.095,3.0
52.184,21.066,3.0
52.141,20.963,3.0
52.208,20.947,3.0
52.316,20.958,3.0
52.248,20.957,3.0
52.174,21.003,3.0
52.243,21.1,3.0
52.214,21.138,3.0
52.166,21.021,3.0
52.228,21.06,3.0
52.258,21.142,3.0
52.195,20.933,3.0
52.188,21.046,3.0
52.23,21.029,3.0
52.251,20.956,3.0
52.354,20.943,3.0
52.235,21.08,3.0
52.217,20.905,3.0
52.227,20.949,3.0
52.161,21.04,3.0
52.263,21.123,3.0
52.234,21.106,3.0
52.139,21.099,3.0
52.237,21.052,3.0
52.229,20.975,3.0
52.192,20.922,3.0
52.257,21.142,3.0
52.227,20.948,3.0
52.264,20.95,3.0
52.293,21.08,3.0
52.219,20.911,3.0
52.199,21.05,3.0
52.264,20.924,3.0
52.248,21.181,3.0
52.195,20.935,3.0
52.275,20.971,3.0
52.132,20.97,3.0
52.262,21.053,3.0
52.292,21.055,3.0
52.253,21.14,3.0
52.205,21.049,3.0
52.293,21.009,3.0
52.287,21.048,3.0
52.281,20.983,3.0
52.13,20.966,3.0
52.14,20.903,3.0
52.298,21.085,3.0
52.253,21.036,3.0
52.253,20.954,3.0
52.32,20.973,3.0
52.188,21.062,3.0
52.29,21.078,3.0
52.208,21.056,3.0
52.185,21.046,3.0
