Lat,Lon,Times_exceeded
52.309,20.957,2.0
52.312,20.997,2.0
52.314,20.968,2.0
52.158,20.924,2.0
52.295,21.018,2.0
52.07,20.873,2.0
52.292,21.052,2.0
52.263,20.652,2.0
52.346,21.029,2.0
52.194,20.936,2.0
52.276,20.973,2.0
52.206,21.167,2.0
52.254,20.998,2.0
52.124,21.097,2.0
52.229,20.91,2.0
52.244,21.174,2.0
52.201,21.056,2.0
52.178,21.031,2.0
52.204,21.077,2.0
52.224,21.219,2.0
52.204,21.079,2.0
52.189,20.957,2.0
52.285,21.047,2.0
52.162,21.085,2.0
52.225,21.196,2.0
52.306,20.95,2.0
52.233,21.224,2.0
52.069,20.948,2.0
52.208,20.974,2.0
52.28,20.993,2.0
52.148,21.018,2.0
52.216,20.958,2.0
52.159,21.041,2.0
52.175,21.021,2.0
52.193,21.002,2.0
52.221,20.922,2.0
52.172,21.043,2.0
52.262,21.015,2.0
52.149,21.092,2.0
52.285,20.893,2.0
52.339,20.968,2.0
52.297,20.89,2.0
52.286,21.09,2.0
52.116,21.212,2.0
52.219,21.092,2.0
52.211,20.988,2.0
52.155,21.036,2.0
52.155,21.051,2.0
52.147,21.094,2.0
52.152,21.066,2.0
52.185,20.958,2.0
52.085,21.021,2.0
52.113,21.216,2.0
52.217,20.961,2.0
52.222,20.926,2.0
52.061,20.87,2.0
52.223,20.917,2.0
52.224,21.204,2.0
52.147,20.912,2.0
52.037,20.965,2.0
52.213,20.954,2.0
52.268,21.001,2.0
52.223,20.928,2.0
52.178,21.152,2.0
52.269,20.861,2.0
52.131,21.089,2.0
52.259,21.003,2.0
52.094,21.131,2.0
52.247,21.014,2.0
52.191,20.952,2.0
52.303,20.99,2.0
52.039,20.967,2.0
52.325,21.061,2.0
52.267,20.859,2.0
52.308,20.954,2.0
52.075,20.875,2.0
52.248,21.03,2.0
52.1,21.019,2.0
52.239,21.131,2.0
52.078,21.083,2.0
52.399,20.942,2.0
52.303,20.943,2.0
52.161,21.04,2.0
52.266,20.93,2.0
52.108,20.841,2.0
52.043,20.974,2.0
52.131,21.087,2.0
52.262,20.993,2.0
52.286,20.991,2.0
52.192,21.058,2.0
52.18,21.149,2.0
52.095,21.135,2.0
52.259,21.005,2.0
52.207,20.944,2.0
52.263,20.645,2.0
52.292,21.007,2.0
52.254,21.14,2.0
52.284,20.901,2.0
52.07,20.94,2.0
52.171,21.064,2.0
52.11,21.219,2.0
52.235,21.096,2.0
